"beta","beta_max","density_interfacial","gamma_ig","kappa_liquid","kappa_max_liquid","kappa_max_vapor","kappa_vapor","mu_liquid","mu_vapor","pressure_interfacial","pressure_relaxation_rate","temperature_interfacial","velocity_relaxation_rate","ObjectId","GlobalElementId","PedigreeElementId"
0.000709202,0.0657231,792.696,0.00143274,6.87246e-05,34.3626,11.2435,3.36063e-05,6.88566e-05,3.38051e-05,7.10464e+06,0.00709919,518.225,8.37898e+07,0,55,55
0.000713368,0.0660535,792.697,0.00143676,6.45053e-05,34.3651,11.2439,3.37045e-05,6.46298e-05,3.39049e-05,7.10455e+06,0.00711445,518.224,8.39635e+07,0,56,56
0.000718011,0.0663852,792.698,0.00144053,6.05668e-05,34.3675,11.2442,3.37665e-05,6.06842e-05,3.39683e-05,7.10445e+06,0.00712925,518.224,8.41321e+07,0,57,57
0.000721809,0.0667182,792.699,0.00144405,5.66883e-05,34.3697,11.2445,3.38646e-05,5.67988e-05,3.4068e-05,7.10436e+06,0.00714359,518.223,8.42955e+07,0,58,58
0.000726123,0.0670525,792.701,0.00144735,5.30879e-05,34.3718,11.2449,3.39261e-05,5.31919e-05,3.41308e-05,7.10427e+06,0.00715746,518.222,8.44537e+07,0,59,59
0.000729574,0.0673879,792.702,0.00145042,4.95198e-05,34.3738,11.2452,3.4024e-05,4.96172e-05,3.42304e-05,7.10417e+06,0.00717087,518.221,8.46066e+07,0,60,60
0.000733579,0.0677243,792.703,0.00145329,4.623e-05,34.3756,11.2456,3.40849e-05,4.63214e-05,3.42927e-05,7.10408e+06,0.00718381,518.22,8.47544e+07,0,61,61
0.000736702,0.0680619,792.704,0.00145596,4.29444e-05,34.3774,11.2459,3.41827e-05,4.30298e-05,3.43921e-05,7.10398e+06,0.00719628,518.219,8.48969e+07,0,62,62
0.00074042,0.0684004,792.706,0.00145844,3.99403e-05,34.379,11.2462,3.42429e-05,4.002e-05,3.44537e-05,7.10389e+06,0.0072083,518.218,8.50343e+07,0,63,63
0.000743232,0.0687399,792.707,0.00146074,3.69118e-05,34.3806,11.2466,3.43404e-05,3.69859e-05,3.45529e-05,7.10379e+06,0.00721986,518.217,8.51664e+07,0,64,64
0.000746682,0.0690803,792.708,0.00146287,3.41707e-05,34.382,11.2469,3.43999e-05,3.42397e-05,3.46138e-05,7.10369e+06,0.00723096,518.217,8.52934e+07,0,65,65
0.0007492,0.0694215,792.709,0.00146483,3.13763e-05,34.3834,11.2473,3.44971e-05,3.14399e-05,3.47127e-05,7.1036e+06,0.00724162,518.216,8.54153e+07,0,66,66
0.000752401,0.0697635,792.711,0.00146665,2.88778e-05,34.3846,11.2476,3.4556e-05,2.89367e-05,3.4773e-05,7.1035e+06,0.00725182,518.215,8.55321e+07,0,67,67
0.00075464,0.0701063,792.712,0.00146832,2.62961e-05,34.3858,11.248,3.46528e-05,2.63499e-05,3.48715e-05,7.1034e+06,0.00726158,518.214,8.56439e+07,0,68,68
0.000757609,0.0704498,792.713,0.00146984,2.40218e-05,34.3869,11.2483,3.47111e-05,2.40713e-05,3.49312e-05,7.1033e+06,0.0072709,518.213,8.57506e+07,0,69,69
0.000759584,0.0707939,792.715,0.00147124,2.16333e-05,34.388,11.2487,3.48074e-05,2.1678e-05,3.50293e-05,7.10321e+06,0.00727978,518.212,8.58524e+07,0,70,70
0.000762337,0.0711387,792.716,0.00147251,1.95666e-05,34.3889,11.2491,3.48651e-05,1.96072e-05,3.50884e-05,7.10311e+06,0.00728823,518.211,8.59492e+07,0,71,71
0.000764062,0.071484,792.717,0.00147366,1.73533e-05,34.3898,11.2494,3.49609e-05,1.73895e-05,3.51859e-05,7.10301e+06,0.00729626,518.21,8.60412e+07,0,72,72
0.000766615,0.0718298,792.719,0.0014747,1.54791e-05,34.3907,11.2498,3.50182e-05,1.55116e-05,3.52447e-05,7.10291e+06,0.00730387,518.209,8.61284e+07,0,73,73
0.000768103,0.0721762,792.72,0.00147563,1.34245e-05,34.3914,11.2501,3.5113e-05,1.34528e-05,3.53412e-05,7.10281e+06,0.00731106,518.208,8.62109e+07,0,74,74
