"density_aux","exact_rho_aux","Points:0","Points:1","Points:2"
1.26444,1.22221,0.269832,0.0170474,0
1.29285,1.22221,0.298077,0.0212341,0
1.36355,1.22221,0.298611,-0.00536405,0
1.46866,1.22221,0.299145,-0.0319622,0
1.40025,1.22221,0.270967,-0.036614,0
2.26072,2.28132,0.666166,-0.136508,0
2.26605,2.28132,0.666066,-0.112934,0
2.26638,2.28132,0.694044,-0.106886,0
2.26027,2.28132,0.694111,-0.130228,0
2.21754,2.28132,0.527778,-0.291595,0
2.22415,2.28132,0.527511,-0.266858,0
2.22424,2.28132,0.4997,-0.274068,0
2.21706,2.28132,0.5,-0.299038,0
1.79462,1.22221,0.636485,0.166702,0
1.97648,2.28132,0.636619,0.142895,0
2.08141,2.28132,0.664964,0.146384,0
1.93776,2.28132,0.664864,0.169959,0
2.15916,2.28132,0.693309,0.149873,0
2.22856,2.28132,0.693376,0.126531,0
2.17922,2.28132,0.665064,0.12281,0
2.10806,2.28132,0.636752,0.119088,0
1.71284,1.22221,0.693109,0.219899,0
1.58488,1.22221,0.664663,0.217107,0
1.74803,1.22221,0.664764,0.193533,0
1.6199,1.22221,0.636351,0.190509,0
1.48719,1.22221,0.636218,0.214316,0
2.19348,2.28132,0.75,0.179728,0
2.10312,2.28132,0.75,0.202604,0
2.25523,2.28132,0.415064,-0.218696,0
2.24584,2.28132,0.415465,-0.244364,0
2.24496,2.28132,0.443343,-0.237619,0
2.25531,2.28132,0.442975,-0.212184,0
2.234,2.28132,0.499399,-0.249098,0
1.34548,1.22221,0.242788,-0.0412659,0
1.23548,1.22221,0.522169,0.227889,0
1.22214,1.22221,-0.384089,-0.18734,0
1.22215,1.22221,-0.383199,-0.218565,0
1.22207,1.22221,-0.352839,-0.218107,0
1.22215,1.22221,-0.353795,-0.1869,0
1.86342,2.28132,0.721554,0.22269,0
2.26438,2.28132,0.580929,0.0145568,0
2.24292,2.28132,0.552751,0.00990488,0
2.26954,2.28132,0.552985,-0.0145999,0
2.27737,2.28132,0.58113,-0.00971539,0
2.27896,2.28132,0.58133,-0.0339876,0
2.27776,2.28132,0.553218,-0.0391046,0
2.27418,2.28132,0.75,0.133974,0
2.24989,2.28132,0.75,0.156851,0
2.21763,2.28132,0.721655,0.153362,0
2.25966,2.28132,0.721688,0.130253,0
2.24938,2.28132,0.637019,0.0714745,0
2.27293,2.28132,0.637153,0.0476675,0
2.28007,2.28132,0.665365,0.0520868,0
2.26934,2.28132,0.665264,0.0756612,0
1.45023,1.22221,0.46688,0.0967594,0
1.57588,1.22221,0.467214,0.0715568,0
1.68575,1.22221,0.495493,0.0755109,0
1.53171,1.22221,0.495192,0.100481,0
1.63397,1.22221,0.523504,0.104202,0
1.81606,2.28132,0.523771,0.079465,0
2.08372,2.28132,0.468216,-0.0040508,0
2.15315,2.28132,0.496394,0.000601094,0
2.04268,2.28132,0.496094,0.025571,0
1.93752,2.28132,0.467882,0.0211517,0
1.74295,1.22221,0.467548,0.0463543,0
1.87782,2.28132,0.495793,0.050541,0
1.99534,2.28132,0.524038,0.0547277,0
2.1214,2.28132,0.524306,0.0299903,0
2.20681,2.28132,0.524573,0.00525299,0
2.15707,2.28132,0.41266,-0.06469,0
2.2281,2.28132,0.413061,-0.0903578,0
2.25305,2.28132,0.441139,-0.0850081,0
2.20713,2.28132,0.440772,-0.059573,0
2.26732,2.28132,0.469217,-0.0796584,0
1.22212,1.22221,0.0705128,0.0446582,0
1.22216,1.22221,0.0988248,0.0483797,0
1.38087,1.22221,0.438568,0.0930378,0
1.48948,1.22221,0.438936,0.0676027,0
1.62815,1.22221,0.439303,0.0421676,0
1.53142,1.22221,0.411058,0.0379809,0
1.41327,1.22221,0.410657,0.0636486,0
1.32615,1.22221,0.410256,0.0893163,0
